title,address,price,beds,link
"913 NE 15th St Grand Prairie, TX 75050","913 NE 15th St Grand Prairie, TX 75050","$1,850 ",3 Beds,https://www.apartments.com/913-ne-15th-st-grand-prairie-tx/lx894xf/
"2301 Cypress Dr Grand Prairie, TX 75050","2301 Cypress Dr Grand Prairie, TX 75050","$3,200 ",4 Beds,https://www.apartments.com/2301-cypress-dr-grand-prairie-tx/eq86rkn/
"10455 Brockbank Dr Dallas, TX 75229","10455 Brockbank Dr Dallas, TX 75229","$3,100 ",4 Beds,https://www.apartments.com/cute-4br-2ba-all-brick-texas-home-dallas-tx/mkf05jk/
"2645 Eagle Cir Grapevine, TX 76051","2645 Eagle Cir Grapevine, TX 76051","$3,200 ",3 Beds,https://www.apartments.com/2645-eagle-circle-grapevine-grapevine-tx/284pqgc/
"1404 Sleepy Hollow Dr Dallas, TX 75235","1404 Sleepy Hollow Dr Dallas, TX 75235","$1,580 ",2 Beds,https://www.apartments.com/2-br-1-bath-house-1404-sleepy-hollow-dr-dallas-tx/1mzby56/
"229 S Heartz Rd Coppell, TX 75019","229 S Heartz Rd Coppell, TX 75019","$2,200 ",3 Beds,https://www.apartments.com/229-s-heartz-rd-coppell-coppell-tx/jfz41d7/
"808 Ashford Dr Coppell, TX 75019","808 Ashford Dr Coppell, TX 75019","$2,500 ",3 Beds,https://www.apartments.com/808-ashford-dr-coppell-coppell-tx/xsszgqp/
"309 E Huitt Ln Euless, TX 76040","309 E Huitt Ln Euless, TX 76040","$2,345 ",3 Beds,https://www.apartments.com/309-e-huitt-ln-euless-tx/q374kgw/
"703 Deep Well Dr Allen, TX 75002","703 Deep Well Dr Allen, TX 75002","$2,210 ",3 Beds,https://www.apartments.com/703-deep-well-dr-allen-tx/l7hw20g/
"18611 Vista del Sol Dr Dallas, TX 75287","18611 Vista del Sol Dr Dallas, TX 75287","$2,500 ",3 Beds,https://www.apartments.com/3-br-2-bath-house-18611-vista-del-sol-dallas-tx/kvlzle8/
"2116 Fawn Ridge Trail Carrollton, TX 75010","2116 Fawn Ridge Trail Carrollton, TX 75010","$2,450 ",4 Beds,https://www.apartments.com/2116-fawn-ridge-trail-carrollton-tx/42mkrrl/
"3233 Forestbrook Dr Richardson, TX 75082","3233 Forestbrook Dr Richardson, TX 75082","$3,595 ",4 Beds,https://www.apartments.com/3233-forestbrook-dr-richardson-tx/vg7p6td/
"711 Cottonwood Dr Allen, TX 75002","711 Cottonwood Dr Allen, TX 75002","$2,495 ",3 Beds,https://www.apartments.com/3-br-2-bath-house-711-cottonwood-dr-allen-tx/qdxm2rw/
"522 Cumberland Dr Allen, TX 75002","522 Cumberland Dr Allen, TX 75002","$2,000 ",4 Beds,https://www.apartments.com/reduced-allen-tx/22yw1y8/
"6901 Royal View Dr McKinney, TX 75070","6901 Royal View Dr McKinney, TX 75070","$3,400 ",4 Beds,https://www.apartments.com/6901-royal-view-dr-mckinney-tx/kffts09/
"133 Timber Ridge Dr Murphy, TX 75094","133 Timber Ridge Dr Murphy, TX 75094","$2,375 ",3 Beds,https://www.apartments.com/133-timber-ridge-dr-murphy-tx/yqqm45r/
"4307 Trailridge Dr Frisco, TX 75035","4307 Trailridge Dr Frisco, TX 75035","$3,000 ",4 Beds,https://www.apartments.com/4307-trailridge-dr-frisco-frisco-tx/lwqydle/
"512 Fairhaven Dr Allen, TX 75002","512 Fairhaven Dr Allen, TX 75002","$1,625 ",3 Beds,https://www.apartments.com/512-fairhaven-dr-allen-allen-tx/yt9hy6r/
"4018 Midrose Trail Dallas, TX 75287","4018 Midrose Trail Dallas, TX 75287","$2,400 ",3 Beds,https://www.apartments.com/4018-midrose-trail-dallas-tx/zfbxbsy/
"4123 Midrose Trail Dallas, TX 75287","4123 Midrose Trail Dallas, TX 75287","$2,380 ",3 Beds,https://www.apartments.com/4123-midrose-trail-dallas-tx/shjkze6/
"6016 Bent Creek Trail Dallas, TX 75252","6016 Bent Creek Trail Dallas, TX 75252","$2,650 ",3 Beds,https://www.apartments.com/6016-bent-creek-trl-dallas-dallas-tx/wmlvgck/
"2905 St Andrews Dr Richardson, TX 75082","2905 St Andrews Dr Richardson, TX 75082","$4,000 ",5 Beds,https://www.apartments.com/2905-st-andrews-dr-richardson-tx/j530jw5/
"703 Villanova Ct Allen, TX 75013","703 Villanova Ct Allen, TX 75013","$3,600 ",5 Beds,https://www.apartments.com/beautiful-5-bedroom-home-in-allen-allen-tx/5ss363m/
"620 Mission Hills Dr Arlington, TX 76018","620 Mission Hills Dr Arlington, TX 76018","$2,200 ",3 Beds,https://www.apartments.com/620-mission-hills-dr-arlington-tx/qfh239x/
"6406 Brookglen Dr Arlington, TX 76018","6406 Brookglen Dr Arlington, TX 76018","$1,945 ",3 Beds,https://www.apartments.com/6406-brookglen-dr-arlington-tx/3v50erf/
"4016 Red Lynx Ln Arlington, TX 76005","4016 Red Lynx Ln Arlington, TX 76005","$3,600 ",3 Beds,https://www.apartments.com/3-br-35-bath-house-4016-red-lynx-ln-arlington-tx/9y422g4/
"1102 Falconcrest Ct Arlington, TX 76017","1102 Falconcrest Ct Arlington, TX 76017","$2,050 ",3 Beds,https://www.apartments.com/3-br-2-bath-house-1102-falconcrest-ct-arlington-tx/7kp8pdz/
"2219 Roman Ct Arlington, TX 76013","2219 Roman Ct Arlington, TX 76013","$1,795 ",3 Beds,https://www.apartments.com/2219-roman-ct-arlington-tx/2y5ts88/
"4205 Meadow Park Dr Arlington, TX 76017","4205 Meadow Park Dr Arlington, TX 76017","$1,880 ",3 Beds,https://www.apartments.com/4205-meadow-park-dr-arlington-tx/4xzth2j/
"6004 Wall St Arlington, TX 76018","6004 Wall St Arlington, TX 76018","$2,005 ",3 Beds,https://www.apartments.com/6004-wall-st-arlington-tx/h8rlbb3/
"1008 Havenbrook Dr Arlington, TX 76001","1008 Havenbrook Dr Arlington, TX 76001","$2,405 ",4 Beds,https://www.apartments.com/1008-havenbrook-dr-arlington-tx/1fl1bc7/
"202 Fort Edward Dr Arlington, TX 76002","202 Fort Edward Dr Arlington, TX 76002","$2,450 ",4 Beds,https://www.apartments.com/202-fort-edward-dr-arlington-tx/y0s66bs/
"1029 Loblolly Pine Dr Arlington, TX 76012","1029 Loblolly Pine Dr Arlington, TX 76012","$3,795 ",4 Beds,https://www.apartments.com/1029-loblolly-pine-dr-arlington-tx/zsr9j9z/
"4102 Twinhill Ct Arlington, TX 76016","4102 Twinhill Ct Arlington, TX 76016","$2,240 ",4 Beds,https://www.apartments.com/4102-twinhill-ct-arlington-arlington-tx/fntp38t/
"2010 W Nathan Lowe Rd Arlington, TX 76017","2010 W Nathan Lowe Rd Arlington, TX 76017","$1,875 ",3 Beds,https://www.apartments.com/3-br-2-bath-house-2010-nathan-lowe-arlington-tx/ejk92ep/
"1210 Alisa Ln Arlington, TX 76014","1210 Alisa Ln Arlington, TX 76014","$2,595 ",3 Beds,https://www.apartments.com/1210-alisa-ln-arlington-tx/4j876cj/
"4826 Abbott Ave Arlington, TX 76018","4826 Abbott Ave Arlington, TX 76018","$1,700 ",3 Beds,https://www.apartments.com/4826-abbott-ave-arlington-tx/v3szbvg/
"924 Tennessee Trail Arlington, TX 76017","924 Tennessee Trail Arlington, TX 76017","$1,890 ",3 Beds,https://www.apartments.com/reduced-now-offering-300-off-first-ful-arlington-tx/8xqx760/
"2216 Lavon Creek Ln Arlington, TX 76006","2216 Lavon Creek Ln Arlington, TX 76006","$2,200 ",3 Beds,https://www.apartments.com/3-br-2-bath-house-2216-lavon-creek-ln-arlington-tx/h25ng00/
"5102 Oxen Ct Arlington, TX 76017","5102 Oxen Ct Arlington, TX 76017","$2,070 ",3 Beds,https://www.apartments.com/reduced-arlington-tx/ysvkfjr/
"503 Darlene Ln Arlington, TX 76010","503 Darlene Ln Arlington, TX 76010","$1,870 ",3 Beds,https://www.apartments.com/503-darlene-ln-arlington-tx/gexbhmy/
"911 Wellridge Dr Arlington, TX 76017","911 Wellridge Dr Arlington, TX 76017","$2,395 ",3 Beds,https://www.apartments.com/3-br-2-bath-house-911-wellridge-dr-arlington-tx/lmnpbvf/
"323 Tabor Dr Arlington, TX 76002","323 Tabor Dr Arlington, TX 76002","$2,475 ",3 Beds,https://www.apartments.com/reduced-arlington-tx/35bpzde/
"8001 Mourning Dove Dr Arlington, TX 76002","8001 Mourning Dove Dr Arlington, TX 76002","$2,250 ",4 Beds,https://www.apartments.com/8001-mourning-dove-dr-arlington-tx/cgc9fbf/
"410 Revolution Ln Arlington, TX 76002","410 Revolution Ln Arlington, TX 76002","$1,920 ",3 Beds,https://www.apartments.com/reduced-arlington-tx/8psr0y1/
"302 Moss Hill Dr Arlington, TX 76018","302 Moss Hill Dr Arlington, TX 76018","$2,000 ",3 Beds,https://www.apartments.com/now-available-302-moss-hill-dr-arlington-arlington-tx/qbtx6px/
"2406 Garden Creek Dr Arlington, TX 76018","2406 Garden Creek Dr Arlington, TX 76018","$2,265 ",3 Beds,https://www.apartments.com/2406-garden-creek-dr-arlington-tx/nwq7dyn/
"816 Ericville Dr Arlington, TX 76001","816 Ericville Dr Arlington, TX 76001","$2,080 ",3 Beds,https://www.apartments.com/816-ericville-dr-arlington-tx/fzv6qvt/
"6204 Musket Ln Arlington, TX 76002","6204 Musket Ln Arlington, TX 76002","$1,880 ",3 Beds,https://www.apartments.com/reduced-arlington-tx/bjzk6j9/
"802 Packard Dr Arlington, TX 76001","802 Packard Dr Arlington, TX 76001","$2,125 ",3 Beds,https://www.apartments.com/3-br-2-bath-house-802-packard-dr-arlington-tx/r18xdf1/
"2219 Newbury Dr Arlington, TX 76014","2219 Newbury Dr Arlington, TX 76014","$2,000 ",3 Beds,https://www.apartments.com/3-br-2-bath-house-2219-newbury-drive-arlington-tx/nv2b6xp/
"2100 Twin Elms Dr Arlington, TX 76012","2100 Twin Elms Dr Arlington, TX 76012","$2,295 ",3 Beds,https://www.apartments.com/3-br-2-bath-house-2100-twin-elms-drive-arlington-tx/zl30pty/
"7900 Ranchvale Ln Arlington, TX 76002","7900 Ranchvale Ln Arlington, TX 76002","$2,495 ",4 Beds,https://www.apartments.com/7900-ranchvale-ln-arlington-tx/71khrny/
"900 Rosewood Ln Arlington, TX 76010","900 Rosewood Ln Arlington, TX 76010","$2,850 ",5 Beds,https://www.apartments.com/900-rosewood-ln-arlington-tx/npg4kqm/
"5801 Fawn Meadow Trail Arlington, TX 76017","5801 Fawn Meadow Trail Arlington, TX 76017","$1,895 ",3 Beds,https://www.apartments.com/5801-fawn-meadow-trail-arlington-tx/dj1b9ql/
"6720 Bighorn Ridge Arlington, TX 76002","6720 Bighorn Ridge Arlington, TX 76002","$2,180 ",3 Beds,https://www.apartments.com/6720-bighorn-ridge-arlington-tx/zh43h4x/
"921 W Lynn Creek Dr Arlington, TX 76001","921 W Lynn Creek Dr Arlington, TX 76001","$2,000 ",3 Beds,https://www.apartments.com/921-w-lynn-creek-dr-arlington-tx/evgxfcm/
"7528 Beckwood Dr Fort Worth, TX 76112","7528 Beckwood Dr Fort Worth, TX 76112","$1,755 ",3 Beds,https://www.apartments.com/7528-beckwood-dr-fort-worth-tx/qyj781z/
"2529 Tiber River Ln Grand Prairie, TX 75052","2529 Tiber River Ln Grand Prairie, TX 75052","$2,150 ",3 Beds,https://www.apartments.com/2529-tiber-river-ln-grand-prairie-tx/13c2mt4/
"6027 Guilia Dr Grand Prairie, TX 75052","6027 Guilia Dr Grand Prairie, TX 75052","$2,100 ",3 Beds,https://www.apartments.com/6027-guilia-dr-grand-prairie-tx/g5v4mxy/
"4978 Briar Oaks Ln Grand Prairie, TX 75052","4978 Briar Oaks Ln Grand Prairie, TX 75052","$2,200 ",3 Beds,https://www.apartments.com/4978-briar-oaks-ln-grand-prairie-tx/j0dnzd7/
"2609 Chatham Ct Grand Prairie, TX 75052","2609 Chatham Ct Grand Prairie, TX 75052","$2,385 ",4 Beds,https://www.apartments.com/2609-chatham-ct-grand-prairie-tx/91ceyy7/
"7521 Kingsmill Terrace Fort Worth, TX 76112","7521 Kingsmill Terrace Fort Worth, TX 76112","$1,810 ",3 Beds,https://www.apartments.com/7521-kingsmill-terrace-fort-worth-tx/6s4dxwv/
"4140 Norway Ln Grand Prairie, TX 75052","4140 Norway Ln Grand Prairie, TX 75052","$2,175 ",3 Beds,https://www.apartments.com/4140-norway-ln-grand-prairie-tx/v081z7g/
"4349 Presto Cir Grand Prairie, TX 75052","4349 Presto Cir Grand Prairie, TX 75052","$2,010 ",4 Beds,https://www.apartments.com/4349-presto-cir-grand-prairie-tx/4qkldnl/
"3149 Pine Valley Dr Grand Prairie, TX 75052","3149 Pine Valley Dr Grand Prairie, TX 75052","$2,510 ",4 Beds,https://www.apartments.com/3149-pine-valley-dr-grand-prairie-tx/t1h3cz8/
"1108 St Ann Dr Mansfield, TX 76063","1108 St Ann Dr Mansfield, TX 76063","$2,999 ",4 Beds,https://www.apartments.com/4-br-35-bath-house-1108-saint-ann-dr-mansfield-tx/5xbb15n/
"1803 Fairfax Dr Mansfield, TX 76063","1803 Fairfax Dr Mansfield, TX 76063","$2,299 ",4 Beds,https://www.apartments.com/1803-fairfax-dr-mansfield-tx/057vrk1/
"3933 Fernando Dr Euless, TX 76040","3933 Fernando Dr Euless, TX 76040","$1,895 ",3 Beds,https://www.apartments.com/3-br-25-bath-house-3933-fernando-drive-euless-tx/2rh4pg8/
"7933 Bermejo Rd Fort Worth, TX 76112","7933 Bermejo Rd Fort Worth, TX 76112","$1,800 ",3 Beds,https://www.apartments.com/7933-bermejo-rd-fort-worth-tx/t0t0mjc/
"1428 New Haven Dr Mansfield, TX 76063","1428 New Haven Dr Mansfield, TX 76063","$2,400 ",4 Beds,https://www.apartments.com/1428-new-haven-dr-mansfield-mansfield-tx/0rcdk80/
"602 Hodges Dr Euless, TX 76040","602 Hodges Dr Euless, TX 76040","$1,820 ",3 Beds,https://www.apartments.com/602-hodges-dr-euless-tx/sjfs4l5/
"5932 Maceo Ln Fort Worth, TX 76112","5932 Maceo Ln Fort Worth, TX 76112","$1,625 ",3 Beds,https://www.apartments.com/5932-maceo-ln-fort-worth-tx/r2jvxt3/
"216 Lantana Dr Arlington, TX 76018","216 Lantana Dr Arlington, TX 76018","$1,875 ",3 Beds,https://www.apartments.com/216-lantana-dr-arlington-tx/yc2gt7t/
"7806 Calgary Ln Arlington, TX 76001","7806 Calgary Ln Arlington, TX 76001","$2,625 ",4 Beds,https://www.apartments.com/7806-calgary-ln-arlington-tx/s7jxr25/
"803 Crystal Creek Ln Arlington, TX 76001","803 Crystal Creek Ln Arlington, TX 76001","$1,940 ",3 Beds,https://www.apartments.com/803-crystal-creek-ln-arlington-tx/gyte2fx/
"6623 Beryl Dr Arlington, TX 76002","6623 Beryl Dr Arlington, TX 76002","$2,440 ",4 Beds,https://www.apartments.com/6623-beryl-dr-arlington-tx/44fqb2j/
"6706 Sandgate Dr Arlington, TX 76002","6706 Sandgate Dr Arlington, TX 76002","$2,200 ",3 Beds,https://www.apartments.com/6706-sandgate-dr-arlington-tx/6cknxcv/
"2206 Sharpshire Ln Arlington, TX 76014","2206 Sharpshire Ln Arlington, TX 76014","$1,925 ",3 Beds,https://www.apartments.com/2206-sharpshire-ln-arlington-tx/mf7lyrh/
"6202 High Country Trail Arlington, TX 76016","6202 High Country Trail Arlington, TX 76016","$2,125 ",3 Beds,https://www.apartments.com/6202-high-country-trail-arlington-tx/sjs4jl4/
"820 Quail Brook Dr Arlington, TX 76001","820 Quail Brook Dr Arlington, TX 76001","$1,900 ",3 Beds,https://www.apartments.com/820-quail-brook-dr-arlington-tx/crzp06d/
"1809 Corriander Trail Arlington, TX 76010","1809 Corriander Trail Arlington, TX 76010","$2,340 ",3 Beds,https://www.apartments.com/1809-corriander-trail-arlington-tx/w8yvrfk/
"825 Pryor Dr Arlington, TX 76001","825 Pryor Dr Arlington, TX 76001","$2,405 ",4 Beds,https://www.apartments.com/825-pryor-dr-arlington-tx/m3d0eql/
"6730 Meadowcrest Dr Arlington, TX 76002","6730 Meadowcrest Dr Arlington, TX 76002","$2,185 ",3 Beds,https://www.apartments.com/6730-meadowcrest-dr-arlington-tx/s6sfnc4/
